"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688152","麒麟信安","2022-10-28","10578023","湖南麒麟信安科技股份有限公司","I65","软件和信息技术服务业","","",""
"688153","唯捷创芯","2022-04-12","10267273","唯捷创芯(天津)电子技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688155","先惠技术","2020-08-11","10421194","上海先惠自动化技术股份有限公司","C35","专用设备制造业","","",""
"688156","路德环境","2020-09-22","10159530","路德生物环保科技股份有限公司","N77","生态保护和环境治理业","","",""
"688157","松井股份","2020-06-09","10336484","松井新材料集团股份有限公司","C26","化学原料及化学制品制造业","","",""
"688158","优刻得","2020-01-20","10465853","优刻得科技股份有限公司","I64","互联网和相关服务","","",""
"688159","有方科技","2020-01-23","10347701","深圳市有方科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688160","步科股份","2020-11-12","10190571","上海步科自动化股份有限公司","C40","仪器仪表制造业","","",""
"688161","威高骨科","2021-06-30","10523341","山东威高骨科材料股份有限公司","C35","专用设备制造业","","",""
"688162","巨一科技","2021-11-10","10527323","安徽巨一科技股份有限公司","C35","专用设备制造业","","",""
"688163","赛伦生物","2022-03-11","10368883","上海赛伦生物技术股份有限公司","C27","医药制造业","","",""
"688165","埃夫特","2020-07-15","10411481","埃夫特智能机器人股份有限公司","C34","通用设备制造业","","",""
"688166","博瑞医药","2019-11-08","10137395","博瑞生物医药(苏州)股份有限公司","C27","医药制造业","","",""
"688167","炬光科技","2021-12-24","10314115","西安炬光科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688168","安博通","2019-09-06","10394317","北京安博通科技股份有限公司","I65","软件和信息技术服务业","","",""
"688169","石头科技","2020-02-21","10482401","北京石头世纪科技股份有限公司","C38","电气机械及器材制造业","","",""
"688170","德龙激光","2022-04-29","10204435","苏州德龙激光股份有限公司","C35","专用设备制造业","","",""
"688171","纬德信息","2022-01-27","10524153","广东纬德信息科技股份有限公司","I65","软件和信息技术服务业","","",""
"688172","燕东微","2022-12-16","108466","北京燕东微电子股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688173","希荻微","2022-01-21","10543109","希荻微电子集团股份有限公司","I65","软件和信息技术服务业","","",""
"688175","高凌信息","2022-03-15","10453527","珠海高凌信息科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688176","亚虹医药","2022-01-07","10470163","江苏亚虹医药科技股份有限公司","C27","医药制造业","","",""
"688177","百奥泰","2020-02-21","10327465","百奥泰生物制药股份有限公司","C27","医药制造业","","",""
"688178","万德斯","2020-01-14","10482239","南京万德斯环保科技股份有限公司","N77","生态保护和环境治理业","","",""
"688179","阿拉丁","2020-10-26","10133273","上海阿拉丁生化科技股份有限公司","M73","研究和试验发展","","",""
"688180","君实生物","2020-07-15","10149013","上海君实生物医药科技股份有限公司","C27","医药制造业","","",""
"688181","八亿时空","2020-01-06","10130731","北京八亿时空液晶科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
